,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
ASHLEY (LAURA) HOLDINGS PLC,General Retailers,Home Improvement Retailers,24.38,3.35,4.81,nan,nan,2018
ASHMORE GROUP PLC,Financial Services,Asset Managers,2986.38,420,96.84,nan,4.46,2018
ASHMORE GLOBAL OPPORTUNITIES LIMITED,Equity Investment Instruments,Equity Investment Instruments,4.94,3.7,497.1,nan,nan,2017
ASHTEAD GROUP PLC,Support Services,Business Support Services,9739.8,2043,288.05,107.33,1.62,2018
ASIAMET RESOURCES LIMITED,Mining,General Mining,64.14,6.35,0.23,nan,nan,2017
ASOS PLC,General Retailers,Apparel Retailers,2587.46,3205,216.19,nan,nan,2018
ASSURA PLC,Real Estate Investment Trusts,Specialty REITs,1398.25,57.7,52.47,nan,4.15,2018
ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,Automobiles &amp; Parts,Automobiles,2860.52,1323.8,nan,nan,nan,nan
ASTRAZENECA PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,79700.68,6195,-1392.16,96.81,4.18,2017
ATALAYA MINING PLC,Mining,Gold Mining,326.18,237.5,108.28,nan,nan,2017
ATHELNEY TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,4.86,225,284.79,nan,3.27,2017
ATLANTIS JAPAN GROWTH FUND LD,Equity Investment Instruments,Equity Investment Instruments,96.3,209,276.66,nan,nan,2018
ATTRAQT GROUP PLC,Software &amp; Computer Services,Software,29.78,28,10.6,nan,-87.19,2017
AUDIOBOOM GROUP PLC,Media,Broadcasting &amp; Entertainment,22.29,1.9,0.11,nan,nan,2017
AUGEAN PLC,Support Services,Waste &amp; Disposal Services,87.18,80.5,29.17,nan,nan,2017
AUGMENTUM FINTECH PLC,Equity Investment Instruments,Equity Investment Instruments,98.46,104.75,nan,nan,nan,nan
AUKETT SWANKE GROUP PLC,Construction &amp; Materials,Heavy Construction,2.93,1.73,0.62,-3.73,nan,2018
AURA ENERGY LIMITED,Industrial Metals &amp; Mining,Nonferrous Metals,10.29,0.9,1.45,nan,nan,2018
AURORA INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,116.14,204,205.72,nan,1.32,2017
AUTINS GROUP PLC,Automobiles &amp; Parts,Auto Parts,4.86,22,-418.43,12.8,2.24,2017
AUTO TRADER GROUP PLC,Media,Media Agencies,4426.44,472.8,-34.15,nan,1.68,2018
AVACTA GROUP PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,46.91,43.5,13.35,nan,nan,2018
AVANTI COMMUNICATIONS GROUP PLC,Mobile Telecommunications,Mobile Telecommunications,61.11,2.83,60.13,410.82,nan,2017
AVAST PLC,Software &amp; Computer Services,Software,2918.69,303.95,-422.34,370.8,1.96,2017
AVESORO RESOURCES INC.,Mining,Gold Mining,136.64,172,118.65,98.05,nan,2017
AVEVA GROUP PLC,Software &amp; Computer Services,Software,4893.39,3012,-15.82,-4.97,1.41,2018
AVINGTRANS PLC,Industrial Engineering,Industrial Machinery,65.86,210,199.6,-58.9,1.44,2017
AVIVA PLC,Life Insurance,Life Insurance,16735.28,428,308.25,nan,5.47,2017
AVON RUBBER PLC,Aerospace &amp; Defense,Defense,394,1295,141.86,-54.83,1.24,2018
nan,nan,nan,nan,nan,nan,nan,nan,nan
B&amp;M EUROPEAN VALUE RETAIL S.A.,General Retailers,Broadline Retailers,3435.93,349.7,-13.9,58.15,1.2,2018
B.P. MARSH &amp; PARTNERS PLC,Financial Services,Specialty Finance,104.09,278,338.53,nan,1.87,2018
BABCOCK INTERNATIONAL GROUP PLC,Aerospace &amp; Defense,Defense,2915.27,554.2,-46.93,42.76,4.41,2018
BACANORA LITHIUM PLC,Mining,General Mining,26.89,19.25,24.7,nan,nan,2018
BAE SYSTEMS PLC,Aerospace &amp; Defense,Defense,15210.33,469.4,-176.94,17.13,3.83,2017
BAGIR GROUP LTD.,Personal Goods,Clothing &amp; Accessories,4.66,1.5,nan,nan,nan,2016
BAHAMAS PETROLEUM COMPANY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,29.88,1.88,0.1,nan,nan,2017
BAILLIE GIFFORD SHIN NIPPON PLC,Equity Investment Instruments,Equity Investment Instruments,492.45,176.92,845.34,nan,nan,2018
BAILLIE GIFFORD JAPAN TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,695.52,752,685.77,nan,nan,2017
BAILLIE GIFFORD UK GROWTH FUND PLC,Equity Investment Instruments,Equity Investment Instruments,269.43,179,nan,nan,nan,2018
BAILLIE GIFFORD US GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,276.45,124.5,nan,nan,nan,nan
BAKER STEEL RESOURCES TRUST LIMITED,Equity Investment Instruments,Equity Investment Instruments,53.99,46.5,57.11,nan,nan,2017
BAKKAVOR GROUP PLC,Food Producers,Food Products,959.53,168,-52.74,52.26,nan,2017
BALFOUR BEATTY PLC,Construction &amp; Materials,Heavy Construction,1927.13,288.5,-14.35,-2.84,1.23,2017
BANGO PLC,Software &amp; Computer Services,Internet,65.02,93.5,6.92,-42.61,nan,2017
BANK OF GEORGIA GROUP PLC,Banks,Banks,832.44,1677.2,5390.66,nan,2.49,2017
BANKERS INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1056.87,854,869.39,nan,2.18,2017
BARCLAYS PLC,Banks,Banks,27281.48,162.96,328.58,nan,1.47,2017
BARING EMERGING EUROPE PLC,Equity Investment Instruments,Equity Investment Instruments,98.12,763,824.76,nan,4.76,2018
BARON OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,4.47,0.35,0.22,nan,nan,2017
BARR (A.G.) PLC,Beverages,Soft Drinks,855.81,752,84.37,-7.38,2.47,2018
BARRATT DEVELOPMENTS PLC,Household Goods &amp; Home Construction,Home Construction,5813.76,589.8,365.49,nan,8.5,2018
BATM ADVANCED COMMUNICATIONS LD,Technology Hardware &amp; Equipment,Telecommunications Equipment,193.73,46.9,12.67,-13.31,nan,2017
BB HEALTHCARE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,533.92,147,nan,nan,nan,nan
BBA AVIATION PLC,Industrial Transportation,Transportation Services,2589.94,247.8,-37.11,60.6,2.86,2017
BBGI SICAV S.A.,Equity Investment Instruments,Equity Investment Instruments,913.51,156.5,129.69,8.02,2.31,2017
BCA MARKETPLACE PLC,Support Services,Business Support Services,1596.14,203.5,-51.73,28.45,nan,2018
BE HEARD GROUP PLC,Media,Media Agencies,10.59,1.02,-2.08,7.88,-25.94,2017
BEAZLEY PLC,Nonlife Insurance,Property &amp; Casualty Insurance,2981.85,565.5,198.57,nan,158.84,2017
BEEKS FINANCIAL CLOUD GROUP PLC,Software &amp; Computer Services,Computer Services,61.66,128.5,7.98,-43.04,nan,2018
