,Sector,Subsector,Market Cap (£ m),Current Price per Share (pence),Net Asset Value per Share (pence),Gearing (%),Dividend Yield (%),Last Statement Year
CAP-XX LIMITED,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,23.98,7.4,1.18,nan,nan,2018
CAPITAL &amp; REGIONAL PLC,Real Estate Investment Trusts,Retail REITs,235.71,32.55,67.02,nan,6.25,2017
CAPITA PLC,Support Services,Business Support Services,1924.52,116.65,nan,47.89,2.74,2017
CAPITAL DRILLING LIMITED,Mining,General Mining,58.4,43,39.61,-6.95,3.38,2017
CAPITAL GEARING TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,310.84,4120,3809.77,nan,0.69,2018
CARCLO PLC,Chemicals,Specialty Chemicals,34.21,46.5,36.48,60.48,nan,2018
CARD FACTORY PLC,General Retailers,Specialty Retailers,653.38,194.6,-33.15,73.67,12.58,2018
CARDIFF PROPERTY PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,21.89,1750,2125.7,nan,0.95,2017
CARETECH HOLDINGS PLC,Health Care Equipment &amp; Services,Health Care Providers,370.19,348,158.76,72.05,2.46,2017
CARIBBEAN INVESTMENT HOLDINGS LIMITED,Banks,Banks,16.92,17,58.01,nan,nan,2018
CARNIVAL PLC,Travel &amp; Leisure,Recreational Services,8266.89,4296,2234.89,38.22,3.28,2018
CARPETRIGHT PLC,General Retailers,Home Improvement Retailers,57.72,18.5,-10.8,274.61,nan,2018
CARR'S GROUP PLC,Food Producers,Farming &amp; Fishing,158.12,172,86.2,14.59,nan,2018
CASPIAN SUNRISE PLC,Oil &amp; Gas Producers,Exploration &amp; Production,114.93,6.3,3.63,23.23,nan,2016
CASTLETON TECHNOLOGY PLC,Software &amp; Computer Services,Computer Services,73.38,90,-17.26,28.19,nan,2018
CATENAE INNOVATION PLC,Media,Broadcasting &amp; Entertainment,2.58,0.1,nan,-29.89,nan,2018
CC JAPAN INCOME &amp; GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,197.38,147,123.91,nan,18.92,2018
CELLCAST PLC,Media,Broadcasting &amp; Entertainment,0.85,1.1,2.08,nan,nan,2017
CELLO HEALTH PLC,Health Care Equipment &amp; Services,Health Care Providers,114.66,109.5,8.35,-1.95,nan,2017
CENKOS SECURITIES PLC,Financial Services,Investment Services,37.33,67.5,56.2,nan,8.37,2017
CENTAMIN PLC,Mining,Gold Mining,1110.38,98.4,96.45,nan,nan,2017
CENTAUR MEDIA PLC,Media,Publishing,71.07,49.2,-6.44,nan,6.67,2017
CENTRAL ASIA METALS PLC,Mining,General Mining,439.09,250,115.88,41.21,3.99,2017
CENTRALNIC GROUP PLC,Software &amp; Computer Services,Internet,84.47,49,-28.16,24.7,nan,2017
CENTRICA PLC,"Gas, Water &amp; Multiutilities",Gas Distribution,7126.8,124.7,-29.05,127.23,8.7,2017
CERES POWER HOLDINGS PLC,Alternative Energy,Alternative Fuels,212.95,141.98,11.35,nan,nan,2018
CERILLION PLC,Software &amp; Computer Services,Computer Services,46.19,156.5,nan,-11.96,nan,2017
CHAARAT GOLD HOLDINGS LTD,Mining,Gold Mining,106.3,26.8,5.41,31.53,nan,2017
CHAMBERLIN PLC,Industrial Engineering,Industrial Machinery,4.42,55.5,34.29,nan,nan,2018
CHARACTER GROUP PLC,Leisure Goods,Toys,115.36,544,124.75,-43,4,2017
CHARIOT OIL &amp; GAS LIMITED,Oil &amp; Gas Producers,Exploration &amp; Production,9.68,2.65,24.93,nan,nan,2017
CHARLES TAYLOR PLC,Support Services,Business Support Services,163.96,213,-45.71,-83.88,3.87,2017
CHARTER COURT FINANCIAL SERVICES GROUP PLC,Financial Services,Mortgage Finance,712.7,304.8,15447.13,nan,nan,2017
CHELVERTON UK DIVIDEND TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,38.57,184,249.61,nan,3.63,2018
CHELVERTON GROWTH TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,2.65,48.5,60.49,4.87,nan,2018
CHEMRING GROUP PLC,Aerospace &amp; Defense,Defense,421.13,151.2,66.25,19.94,1.74,2017
CHESNARA PLC,Life Insurance,Life Insurance,534.43,351.5,183.68,-65.74,5.34,2016
CHINA NEW ENERGY LIMITED,Alternative Energy,Alternative Fuels,4.22,0.95,nan,-1.75,nan,2017
CHRISTIE GROUP PLC,Support Services,Business Support Services,32.89,124,nan,-60.9,2.08,2017
CHURCHILL CHINA PLC,Household Goods &amp; Home Construction,Durable Household Products,139.68,1262.5,308.26,nan,2.15,2017
CINEWORLD GROUP PLC,Travel &amp; Leisure,Recreational Services,3839.26,276.4,19.17,35.9,3.57,2017
CIP MERCHANT CAPITAL LIMITED,Equity Investment Instruments,Equity Investment Instruments,37.12,67,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan
CITY OF LONDON INVESTMENT GROUP PLC,Financial Services,Asset Managers,107.55,410,83.44,nan,6.59,2018
CITY OF LONDON INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1486.78,402,429.16,nan,4.1,2018
CITY MERCHANTS HIGH YIELD TRUST LIMITED,Equity Investment Instruments,Equity Investment Instruments,180.39,184,189.32,nan,5.24,2016
CITY PUB GROUP PLC (THE),Travel &amp; Leisure,Restaurants &amp; Bars,133.33,217.5,89.91,-8.65,nan,2017
CIVITAS SOCIAL HOUSING PLC,Real Estate Investment Trusts,Residential REITs,614.99,98.6,nan,nan,nan,2018
CLARKE (T.) PLC,Construction &amp; Materials,Heavy Construction,46.82,104,-21.28,-70.73,4.24,2017
CLARKSON PLC,Industrial Transportation,Transportation Services,744.48,2460,430.32,nan,2.59,2017
CLEAR LEISURE PLC,Financial Services,Specialty Finance,3.53,0.6,0.34,nan,nan,2017
CLINIGEN GROUP PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,1221.7,920.5,-121.11,nan,0.61,2018
CLIPPER LOGISTICS PLC,Support Services,Business Support Services,246.72,249,2.07,89.26,1.86,2018
CLONTARF ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,1.79,0.23,-0.11,nan,nan,2017
CLOSE BROTHERS GROUP PLC,Banks,Banks,2271.4,1517,758.16,nan,3.97,2018
CLOUDBUY PLC,Software &amp; Computer Services,Software,3.98,3.05,nan,nan,nan,2017
CLOUDCALL GROUP PLC,Software &amp; Computer Services,Software,28.71,107.5,25.04,nan,nan,2017
CLS HOLDINGS PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,973.68,242,251.65,74.25,2.62,2017
CLUFF NATURAL RESOURCES PLC,Financial Services,Specialty Finance,15.23,2.55,0.24,nan,nan,2017
CMC MARKETS PLC,Financial Services,Investment Services,254.4,86.3,49.47,-22.69,33.24,2017
CML MICROSYSTEMS PLC,Technology Hardware &amp; Equipment,Semiconductors,51.4,301,107.92,nan,1.5,2018
COATS GROUP PLC,General Industrials,Diversified Industrials,1299.11,91.9,-12.13,-114.16,nan,2016
COBHAM PLC,Aerospace &amp; Defense,Aerospace,2905.08,121.9,5.6,37.34,nan,2017
COCA-COLA HBC AG,Beverages,Soft Drinks,9642.63,2621,278.34,30.02,1.98,2017
CODEMASTERS GROUP HOLDINGS PLC,Leisure Goods,Toys,272.3,199.88,nan,nan,nan,nan
COHORT PLC,Aerospace &amp; Defense,Defense,156.67,377.5,68.36,-15.51,2.34,2018
COLLAGEN SOLUTIONS PLC,Health Care Equipment &amp; Services,Medical Equipment,12.49,3.85,0.79,-12.43,nan,2018
COLUMBUS ENERGY RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,19.94,2.35,2.56,-13.35,nan,2017
COMPASS GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,27169.4,1694,-223.81,132.12,2.21,2018
COMPTOIR GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,12.88,10.5,31366,-28.77,-9.49,2017
COMPUTACENTER PLC,Software &amp; Computer Services,Computer Services,1273.81,1114,332.97,-39.11,2.29,2017
CONCEPTA PLC,Health Care Equipment &amp; Services,Medical Equipment,6.12,3.25,1.84,-49.64,nan,2017
CONCURRENT TECHNOLOGIES PLC,Technology Hardware &amp; Equipment,Computer Hardware,49.81,68.5,15.56,nan,2.67,2017
CONDOR GOLD PLC,Mining,General Mining,18.01,25.25,1.92,nan,nan,2017
CONNECT GROUP PLC,Support Services,Business Support Services,98.07,38.5,nan,-181.48,10.06,2018
CONNEMARA MINING COMPANY PLC,Mining,General Mining,1.42,1.25,-0.47,nan,0,2017
CONROY GOLD &amp; NATURAL RESOURCES PLC,Mining,Gold Mining,2.1,8.88,-13.54,nan,nan,2018
CONSORT MEDICAL PLC,Health Care Equipment &amp; Services,Medical Supplies,450.2,930,141.07,38.77,1.75,2018
CONTOURGLOBAL PLC,Electricity,Conventional Electricity,1167.04,173.6,19.41,365.51,nan,2017
CONVATEC GROUP PLC,Health Care Equipment &amp; Services,Medical Supplies,2534.37,128.3,nan,121.29,nan,2016
CONYGAR INVESTMENT COMPANY PLC (THE),Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,87.89,153,201.27,nan,nan,2018
CORA GOLD LIMITED,Mining,Gold Mining,4,6.05,nan,nan,nan,2017
CORAL PRODUCTS PLC,General Industrials,Containers &amp; Packaging,10.12,12.25,7.25,55.51,2.27,2018
CORERO NETWORK SECURITY PLC,Software &amp; Computer Services,Software,37.18,9.5,2.04,nan,nan,2017
CORO ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,15.45,2.17,0.22,nan,nan,2017
COSTAIN GROUP PLC,Construction &amp; Materials,Heavy Construction,402.97,370.5,86.69,-115.39,3.04,2017
COUNTRYSIDE PROPERTIES PLC,Household Goods &amp; Home Construction,Home Construction,1390.5,316,138.84,nan,nan,2018
COUNTRYWIDE PLC,Real Estate Investment &amp; Services,Real Estate Services,177.23,11,-80.28,62.1,nan,2017
CPPGROUP PLC,Support Services,Business Support Services,53.44,6.2,1.56,nan,nan,2017
CQS NATURAL RESOURCES GROWTH AND INCOME PLC,Equity Investment Instruments,Equity Investment Instruments,62.41,93.3,142.35,27.9,4.86,2018
CQS NEW CITY HIGH YIELD FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,234.26,57.4,57.63,10.45,7.18,2018
CRADLE ARC PLC,Mining,General Mining,0,0.62,-37.58,607.05,nan,2017
CRANEWARE PLC,Software &amp; Computer Services,Software,712.86,2695,81.39,nan,1.14,2018
CRANSWICK PLC,Food Producers,Food Products,1299.9,2512,633.73,-4.1,1.89,2018
CRAVEN HOUSE CAPITAL PLC,Financial Services,Specialty Finance,6.79,3.55,760.83,nan,nan,2018
CREIGHTONS PLC,Personal Goods,Personal Products,19.35,32.5,14.72,-2.3,1.19,2018
CREO MEDICAL GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,265.09,214,nan,-93.32,nan,2017
CREST NICHOLSON HOLDINGS PLC,Household Goods &amp; Home Construction,Home Construction,974.76,393.2,308.41,-4.06,5.83,2017
CRH PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,19475.35,2362,753.04,40.45,2.17,2017
CRIMSON TIDE PLC,Software &amp; Computer Services,Software,12.35,2.7,0.25,-4.18,nan,2017
CRODA INTERNATIONAL PLC,Chemicals,Specialty Chemicals,6661.14,4896,321.85,46.39,1.84,2017
CROMA SECURITY SOLUTIONS GROUP PLC,Support Services,Business Support Services,15.27,102.5,19.05,-18.85,1.53,2018
CROPPER (JAMES) PLC,Forestry &amp; Paper,Paper,87.88,920,241.06,20.59,0.89,2018
CRYSTAL AMBER FUND LIMITED,Equity Investment Instruments,Equity Investment Instruments,201.44,209,244.62,nan,1.14,2018
nan,nan,nan,nan,nan,nan,nan,nan,nan
CURTIS BANKS GROUP PLC,Financial Services,Specialty Finance,148.51,276,0.02,-770.83,nan,2017
CUSTODIAN REIT PLC,Real Estate Investment Trusts,Diversified REITs,457.14,115.4,103.79,nan,4.79,2018
CVC CREDIT PARTNERS EUROPEAN OPPORTUNITIES LIMITED,Equity Investment Instruments,Equity Investment Instruments,363.88,106,nan,nan,0.81,2016
CVS GROUP PLC,General Retailers,Specialized Consumer Services,316.4,454.4,-65.12,43.75,nan,2018
CYANCONNODE HOLDINGS PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,14.5,7.95,5.54,nan,nan,2017
CYBG PLC,Banks,Banks,2688.74,190,142.38,nan,2.31,2017
D4T4 SOLUTIONS PLC,Software &amp; Computer Services,Computer Services,84.53,220,29.01,-18.37,2.11,2018
DAEJAN HOLDINGS PLC,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,950.02,5860,11125.27,13.88,1.72,2018
DAIRY CREST GROUP PLC,Food Producers,Food Products,990.69,631.5,96.81,111.28,4.41,2018
DART GROUP PLC,Travel &amp; Leisure,Airlines,1204.83,824.5,351.36,-38.19,0.9,2018
DCC PLC,Support Services,Industrial Suppliers,6474.64,6595,-329.86,38.63,1.87,2018
DE LA RUE PLC,Support Services,Business Support Services,438.06,428.5,nan,-163.51,4.91,2018
DEBENHAMS PLC,General Retailers,Broadline Retailers,41.4,3.25,-10.1,65.65,3.81,2018
DECHRA PHARMACEUTICALS PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,2597.01,2450,-200.18,41.86,0.92,2018
DEEPMATTER GROUP PLC,Chemicals,Specialty Chemicals,18.73,3.6,0.57,nan,nan,2017
DEFENX PLC,Software &amp; Computer Services,Software,2.3,6.5,16.63,29.92,nan,2017
DEKELOIL PUBLIC LIMITED,Food Producers,Farming &amp; Fishing,11.45,3.25,4.27,114.13,116.03,2017
DELTEX MEDICAL GROUP PLC,Health Care Equipment &amp; Services,Medical Equipment,7.14,1.45,-0.33,110.44,nan,2017
DERWENT LONDON PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,3639.55,3332,3703.35,nan,1.93,2017
DESTINY PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,34.85,79,2419.38,nan,nan,2017
DEVRO PLC,Food Producers,Food Products,285.48,181,69.96,106.05,3.74,2017
DEWHURST PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,29.78,900,271.14,nan,1.17,2018
DEWHURST PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,31.62,620,271.14,nan,2.17,2018
DFS FURNITURE PLC,General Retailers,Home Improvement Retailers,482.68,228.5,-115.81,60.14,nan,2018
DIAGEO PLC,Beverages,Distillers &amp; Vintners,72508.8,2963,-97.34,90.75,2.4,2018
DIALIGHT PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,118.1,363,190.34,nan,nan,2017
DIGNITY PLC,General Retailers,Specialized Consumer Services,376.07,751,-679.13,1112.93,1.39,2017
DILLISTONE GROUP PLC,Software &amp; Computer Services,Software,11.01,56,-10.18,-15.87,0.78,2017
DIPLOMA PLC,Support Services,Industrial Suppliers,1529.87,1356,94.84,nan,1.8,2018
DIRECT LINE INSURANCE GROUP PLC,Nonlife Insurance,Property &amp; Casualty Insurance,4917,355.9,188.4,nan,9.41,2017
DIRECTA PLUS PLC,Chemicals,Specialty Chemicals,30.16,59,nan,-65.61,-44.18,2017
DISCOVERIE GROUP PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,298.57,414,20.02,40.53,2.17,2018
DISTIL PLC,Beverages,Distillers &amp; Vintners,10.04,1.95,0.29,nan,nan,2018
DIURNAL GROUP PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,19.75,32,32.63,nan,nan,2018
DIVERSE INCOME TRUST (THE) PLC,Equity Investment Instruments,Equity Investment Instruments,356.54,92.6,105.09,nan,3.39,2018
DIVERSIFIED GAS &amp; OIL PLC,Oil &amp; Gas Producers,Exploration &amp; Production,640.33,116,15.84,63.56,nan,2017
DIXONS CARPHONE PLC,General Retailers,Specialty Retailers,1517.55,134.75,-31.95,7.79,5.51,2018
DOLPHIN CAPITAL INVESTORS LIMITED,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,51.56,5.7,18.62,46.52,nan,2017
DOMINO'S PIZZA GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,1096.43,234.4,-14.46,nan,2.61,2017
DOTDIGITAL GROUP PLC,Software &amp; Computer Services,Internet,278.04,93.5,5.73,-41.04,0.85,2018
DOWNING STRATEGIC MICRO-CAP INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,41.42,73.5,nan,nan,nan,2018
DP EURASIA N.V.,Travel &amp; Leisure,Restaurants &amp; Bars,139.56,95.5,-347.29,98.17,nan,2017
DP POLAND PLC,Travel &amp; Leisure,Restaurants &amp; Bars,15.66,10.25,9.14,-28.51,nan,2017
DRAPER ESPRIT PLC,Financial Services,Specialty Finance,583.73,510,94,nan,44.43,2018
DRAX GROUP PLC,Electricity,Conventional Electricity,1469.56,371,323.85,21.36,1.71,2017
DRIVER GROUP PLC,Support Services,Business Support Services,40.2,74.5,30.63,-35.45,0.61,2018
DUKE ROYALTY LIMITED,Financial Services,Specialty Finance,79.95,40.5,31.97,nan,nan,2018
DUNEDIN ENTERPRISE INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,78.45,380,489.19,nan,4.81,2017
DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,375.18,253,303.67,nan,4.65,2018
DUNELM GROUP PLC,General Retailers,Home Improvement Retailers,1635.69,822,52.55,nan,5.25,2018
DX (GROUP) PLC,Industrial Transportation,Delivery Services,60.09,10.47,-1.19,4.02,nan,2018
E-THERAPEUTICS PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,13.57,5.05,3.95,nan,nan,2018
EAGLE EYE SOLUTIONS GROUP PLC,Software &amp; Computer Services,Internet,36.29,142,3.41,-5.84,nan,2018
EARTHPORT PLC,Software &amp; Computer Services,Internet,291.48,45.5,4.71,nan,nan,2018
EASYHOTEL PLC,Travel &amp; Leisure,Hotels,111.66,75.5,81.18,-20.84,0.22,2018
EASYJET PLC,Travel &amp; Leisure,Airlines,5221.3,1360,683.02,-1.47,4.46,2018
EBIQUITY PLC,Media,Media Agencies,37.53,50,-27.61,55.52,0.67,2017
ECHO ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,20.43,4.4,1.92,nan,nan,2017
ECKOH PLC,Software &amp; Computer Services,Software,87.36,34.5,5.48,-16.57,1.34,2018
ECO (ATLANTIC) OIL &amp; GAS LTD,Oil &amp; Gas Producers,Exploration &amp; Production,122.24,74.25,7.07,nan,nan,2018
ECO ANIMAL HEALTH GROUP PLC,Pharmaceuticals &amp; Biotechnology,Pharmaceuticals,309.89,460,63.9,nan,1.73,2018
ECOFIN GLOBAL UTILITIES AND INFRASTRUCTURE TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,119.43,130,nan,12.9,nan,2018
ECR MINERALS PLC,Mining,Gold Mining,3.79,0.85,0.43,nan,nan,2017
ECSC GROUP PLC,Software &amp; Computer Services,Computer Services,10.46,115,19.88,-64.4,11.54,2017
EDDIE STOBART LOGISTICS PLC,Industrial Transportation,Transportation Services,385.04,99.5,-18740.26,51.56,nan,2017
EDEN RESEARCH PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,20.72,10,1.73,nan,nan,2017
EDENVILLE ENERGY PLC,Mining,General Mining,0.99,0.06,0.16,nan,nan,2017
EDINBURGH DRAGON TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,492.25,374,421.54,nan,1.08,2018
EDINBURGH INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1241.31,631,715.44,nan,4.14,2018
nan,nan,nan,nan,nan,nan,nan,nan,nan
EDISTON PROPERTY INVESTMENT COMPANY PLC,Real Estate Investment Trusts,Industrial &amp; Office REITs,216.09,103.5,111.32,nan,nan,2018
EGDON RESOURCES PLC,Oil &amp; Gas Producers,Exploration &amp; Production,17.29,6.65,5.18,nan,nan,2017
EI GROUP PLC,Travel &amp; Leisure,Restaurants &amp; Bars,942.09,208,265.64,130.97,nan,2018
EIGHT PEAKS GROUP PLC,Financial Services,Specialty Finance,1.35,7.5,0.18,2.95,nan,2018
EKF DIAGNOSTICS HOLDINGS PLC,Health Care Equipment &amp; Services,Medical Equipment,149.85,33,3.58,-11.67,nan,2017
ELAND OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,272.61,125,111.6,-3.39,nan,2017
ELECOSOFT PLC,Software &amp; Computer Services,Software,57.27,70,-4.42,-8.98,1.43,2017
ELECTRA PRIVATE EQUITY PLC,Equity Investment Instruments,Equity Investment Instruments,141.07,368.5,1980,nan,266.67,2017
ELECTROCOMPONENTS PLC,Support Services,Industrial Suppliers,2512,570.2,56.45,13.58,2.21,2018
ELEGANT HOTELS GROUP PLC,Travel &amp; Leisure,Hotels,64.39,72,97.25,66.6,nan,2017
ELEKTRON TECHNOLOGY PLC,Electronic &amp; Electrical Equipment,Electrical Components &amp; Equipment,83.75,44.2,5.45,nan,nan,2018
ELEMENTIS PLC,Chemicals,Specialty Chemicals,1134.09,192.6,-2.45,41.45,nan,2017
EMIS GROUP PLC,Software &amp; Computer Services,Computer Services,597.66,938,3,nan,2.54,2017
EMPIRIC STUDENT PROPERTY PLC,Real Estate Investment Trusts,Residential REITs,587.21,97.9,105.7,39,nan,2017
EMPRESARIA GROUP PLC,Support Services,Business Training &amp; Employment Agencies,35.78,73,-24.53,28.5,1.47,2017
EMPYREAN ENERGY PLC,Oil &amp; Gas Producers,Exploration &amp; Production,41.3,9.97,1.74,nan,nan,2018
ENERGEAN OIL &amp; GAS PLC,Oil &amp; Gas Producers,Exploration &amp; Production,1007.2,653,nan,nan,nan,nan
ENERGISER INVESTMENTS PLC,Equity Investment Instruments,Equity Investment Instruments,1.24,1,1.43,nan,nan,2017
ENQUEST PLC,Oil &amp; Gas Producers,Exploration &amp; Production,339.73,19.92,33.49,365.13,nan,2017
ENTERTAINMENT ONE LTD.,Media,Broadcasting &amp; Entertainment,1982.25,425.6,7.35,38.97,0.5,2018
ENTEQ UPSTREAM PLC,Oil Equipment &amp; Services,Oil Equipment &amp; Services,17.87,28.5,27.51,nan,nan,2018
EP GLOBAL OPPORTUNITIES TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,130.03,307.5,nan,nan,1.67,2017
EPE SPECIAL OPPORTUNITIES LIMITED,Equity Investment Instruments,Equity Investment Instruments,46.64,160,234.43,nan,nan,2018
EPWIN GROUP PLC,Construction &amp; Materials,Building Materials &amp; Fixtures,104.34,73,16.86,26.79,7.96,2017
EQTEC PLC,Electricity,Alternative Electricity,24.09,1.26,0.12,15.21,nan,2017
EQUINITI GROUP PLC,Support Services,Business Support Services,754.59,210.5,-48.29,26.58,1.56,2017
ERGOMED PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,83.98,182.5,-1.53,-9.18,nan,2017
ERRIS RESOURCES PLC,Mining,General Mining,1.79,5.47,11.04,-81.77,nan,2017
ESERVGLOBAL LIMITED,Software &amp; Computer Services,Software,85.67,7.08,2.72,nan,nan,2017
ESSENTRA PLC,Support Services,Industrial Suppliers,1006.25,384,24.57,35.21,3.93,2017
ESTABLISHMENT INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,41.8,208,246.58,nan,4.95,2018
ETHERNITY NETWORKS LTD,Technology Hardware &amp; Equipment,Telecommunications Equipment,16.28,52.5,-2.66,nan,nan,2017
EU SUPPLY PLC,Software &amp; Computer Services,Software,7.71,10.75,nan,nan,nan,2017
EURASIA MINING PLC,Mining,Platinum &amp; Precious Metals,13.04,0.57,0.25,9,nan,2017
EUROMONEY INSTITUTIONAL INVESTOR PLC,Media,Publishing,1401.94,1284,-280.77,nan,2.61,2017
EUROPA METALS LTD,Industrial Metals &amp; Mining,Iron &amp; Steel,2.09,0.04,0.04,nan,nan,2018
EUROPA OIL &amp; GAS (HOLDINGS) PLC,Oil &amp; Gas Producers,Exploration &amp; Production,12.56,3.05,-0.37,nan,nan,2018
EUROPEAN METALS HOLDINGS LIMITED,Industrial Metals &amp; Mining,Iron &amp; Steel,27.13,18.5,6.16,nan,nan,2017
EVE SLEEP PLC,Household Goods &amp; Home Construction,Durable Household Products,24.05,9.25,101.61,nan,-461.62,2017
EVERYMAN MEDIA GROUP PLC,Travel &amp; Leisure,Recreational Services,137.01,193,58.94,-22.06,nan,2017
EVGEN PHARMA PLC,Pharmaceuticals &amp; Biotechnology,Biotechnology,15.59,15.25,5.6,nan,nan,2018
EVR HOLDINGS PLC,Mobile Telecommunications,Mobile Telecommunications,51.69,4.03,1.1,nan,nan,2017
EVRAZ PLC,Industrial Metals &amp; Mining,Iron &amp; Steel,8033.69,559.4,32.47,220.01,1.31,2017
EXPERIAN PLC,Support Services,Business Support Services,18719.63,2003,-284.64,128.31,2.06,2018
F&amp;C INVESTMENT TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,3778.58,684,676.53,nan,nan,2017
F&amp;C COMMERCIAL PROPERTY TRUST LIMITED,Real Estate Investment &amp; Services,Real Estate Holding &amp; Development,991.21,123.8,141.19,nan,4.42,2017
F&amp;C UK REAL ESTATE INVESTMENTS LIMITED,Real Estate Investment Trusts,Diversified REITs,219.52,89.6,108.48,nan,5.01,2018
FAIRFX GROUP PLC,Financial Services,Consumer Finance,138.28,89,11.2,nan,nan,2017
FALANX GROUP LIMITED,Support Services,Business Support Services,9.61,2.33,0.15,nan,nan,2018
FALCON OIL &amp; GAS LTD.,Oil &amp; Gas Producers,Exploration &amp; Production,176.02,18.95,3.14,nan,nan,2017
FARON PHARMACEUTICALS OY,Pharmaceuticals &amp; Biotechnology,Biotechnology,18.77,60.5,nan,-68.71,-84.48,2016
FASTFORWARD INNOVATIONS LIMITED,Equity Investment Instruments,Equity Investment Instruments,14.78,9.15,10.35,nan,nan,2018
FDM GROUP (HOLDINGS) PLC,Software &amp; Computer Services,Computer Services,891.08,833,41.77,nan,nan,2017
FEEDBACK PLC,Electronic &amp; Electrical Equipment,Electronic Equipment,4.76,1.27,0.07,nan,nan,2018
FERGUSON PLC,Support Services,Industrial Suppliers,12479.88,5303,986.98,16.11,2.56,2017
FERREXPO PLC,Industrial Metals &amp; Mining,Iron &amp; Steel,1579.28,266.3,72.65,67.66,4.17,2017
FEVERTREE DRINKS PLC,Beverages,Soft Drinks,3183.79,2721,76,nan,0.48,2017
FFI HOLDINGS PLC,Financial Services,Specialty Finance,37.09,23.5,7.49,-31.24,nan,2018
FIDELITY EUROPEAN VALUES PLC,Equity Investment Instruments,Equity Investment Instruments,929.45,223.5,nan,nan,1.92,2017
FIDELITY SPECIAL VALUES PLC,Equity Investment Instruments,Equity Investment Instruments,694.86,254,254.63,nan,1.87,2017
FIDELITY ASIAN VALUES PLC,Equity Investment Instruments,Equity Investment Instruments,303.01,429,419.36,nan,1.34,2018
FIDELITY CHINA SPECIAL SITUATIONS PLC,Equity Investment Instruments,Equity Investment Instruments,1247.53,225.5,272.55,nan,1.46,2018
FIDELITY JAPAN TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,188.59,139.75,nan,nan,nan,2017
FIH GROUP PLC,Support Services,Business Support Services,35.26,283,240.47,-20.97,1.48,2018
FILTRONIC PLC,Technology Hardware &amp; Equipment,Telecommunications Equipment,17.07,7.85,3.99,nan,nan,2018
FINDEL PLC,General Retailers,Specialty Retailers,157.11,178,16.78,585.49,nan,2018
FINSBURY FOOD GROUP PLC,Food Producers,Food Products,104.96,80.5,17.5,16.84,2.59,2017
FINSBURY GROWTH &amp; INCOME TRUST PLC,Equity Investment Instruments,Equity Investment Instruments,1482.55,801,812.81,nan,1.87,2018
